municipio,IBGE,uf,c1,c2,ciclo
Olinda,260960,PE,39,0,Ciclo 2
Petrolina,261110,PE,27,0,Ciclo 2
Recife,261160,PE,93,28,Ciclo 2
São Lourenço da Mata,261370,PE,24,0,Ciclo 2
Maceió,270430,AL,18,0,Ciclo 2
Aracaju,280030,SE,29,0,Ciclo 2
Nossa Senhora do Socorro,280480,SE,7,1,Ciclo 2
Camaçari,290570,BA,10,1,Ciclo 2
Porto Seguro,292530,BA,33,0,Ciclo 2
Salvador,292740,BA,32,2,Ciclo 2
Teixeira de Freitas,293135,BA,34,0,Ciclo 2
Belo Horizonte,310620,MG,146,0,Ciclo 2
Governador Valadares,312770,MG,41,0,Ciclo 2
Juiz de Fora,313670,MG,13,0,Ciclo 2
Ribeirão das Neves,315460,MG,30,0,Ciclo 2
Sabará,315670,MG,4,1,Ciclo 2
Santa Luzia,315780,MG,1,16,Ciclo 2
Teófilo Otoni,316860,MG,0,24,Ciclo 2
Vespasiano,317120,MG,10,1,Ciclo 2
Cariacica,320130,ES,10,0,Ciclo 2
Guarapari,320240,ES,2,0,Ciclo 2
Linhares,320320,ES,18,0,Ciclo 2
São Mateus,320490,ES,8,0,Ciclo 2
Serra,320500,ES,18,1,Ciclo 2
Vila Velha,320520,ES,1,0,Ciclo 2
Vitória,320530,ES,21,1,Ciclo 2
Belford Roxo,330045,RJ,15,0,Ciclo 2
Duque de Caxias,330170,RJ,14,40,Ciclo 2
Itaboraí,330190,RJ,25,0,Ciclo 2
Magé,330250,RJ,6,4,Ciclo 2
Maricá,330270,RJ,16,0,Ciclo 2
Mesquita,330285,RJ,1,9,Ciclo 2
Nilópolis,330320,RJ,7,2,Ciclo 2
Niterói,330330,RJ,27,0,Ciclo 2
Nova Iguaçu,330350,RJ,30,1,Ciclo 2
Queimados,330414,RJ,0,10,Ciclo 2
Resende,330420,RJ,20,0,Ciclo 2
Rio de Janeiro,330455,RJ,171,1,Ciclo 2
São Gonçalo,330490,RJ,123,3,Ciclo 2
São João de Meriti,330510,RJ,2,13,Ciclo 2
Bauru,350600,SP,4,0,Ciclo 2
Botucatu,350750,SP,11,0,Ciclo 2
Cubatão,351350,SP,5,1,Ciclo 2
Guarujá,351870,SP,9,0,Ciclo 2
Itapetininga,352230,SP,9,0,Ciclo 2
Itaquaquecetuba,352310,SP,1,0,Ciclo 2
Ourinhos,353470,SP,4,0,Ciclo 2
Praia Grande,354100,SP,16,0,Ciclo 2
São Paulo,355030,SP,262,3,Ciclo 2
Almirante Tamandaré,410040,PR,6,0,Ciclo 2
Curitiba,410690,PR,101,0,Ciclo 2
Florianópolis,420540,SC,44,0,Ciclo 2
Palhoça,421190,SC,19,0,Ciclo 2
São José,421660,SC,18,1,Ciclo 2
Alvorada,430060,RS,4,9,Ciclo 2
Bento Gonçalves,430210,RS,11,0,Ciclo 2
Canoas,430460,RS,2,9,Ciclo 2
Caxias do Sul,430510,RS,22,0,Ciclo 2
Passo Fundo,431410,RS,2,13,Ciclo 2
Porto Alegre,431490,RS,129,2,Ciclo 2
Rio Grande,431560,RS,17,1,Ciclo 2
Santa Cruz do Sul,431680,RS,10,1,Ciclo 2
Santa Maria,431690,RS,12,1,Ciclo 2
São Leopoldo,431870,RS,0,9,Ciclo 2
Sapucaia do Sul,432000,RS,5,9,Ciclo 2
Campo Grande,500270,MS,34,0,Ciclo 2
Dourados,500370,MS,8,16,Ciclo 2
Cuiabá,510340,MT,50,0,Ciclo 2
Goiânia,520870,GO,30,29,Ciclo 2
Luziânia,521250,GO,17,0,Ciclo 2
Brasília,530010,DF,53,7,Ciclo 2
Porto Velho,110012,RO,5,7,Ciclo 3
Rio Branco,120040,AC,40,1,Ciclo 3
Manaus,130260,AM,174,5,Ciclo 3
Boa Vista,140010,RR,32,0,Ciclo 3
Belém,150140,PA,35,18,Ciclo 3
Bragança,150170,PA,17,0,Ciclo 3
Marabá,150420,PA,11,0,Ciclo 3
Marituba,150442,PA,12,1,Ciclo 3
Parauapebas,150553,PA,9,0,Ciclo 3
Macapá,160030,AP,34,2,Ciclo 3
Araguaína,170210,TO,16,1,Ciclo 3
Palmas,172100,TO,10,22,Ciclo 3
Paço do Lumiar,210750,MA,8,0,Ciclo 3
São Luís,211130,MA,47,0,Ciclo 3
Timon,211220,MA,33,0,Ciclo 3
Parnaíba,220770,PI,32,0,Ciclo 3
Teresina,221100,PI,23,0,Ciclo 3
Caucaia,230370,CE,45,0,Ciclo 3
Fortaleza,230440,CE,48,0,Ciclo 3
Maracanaú,230765,CE,27,0,Ciclo 3
Parnamirim,240325,RN,28,0,Ciclo 3
Natal,240810,RN,42,0,Ciclo 3
João Pessoa,250750,PB,50,47,Ciclo 3
Santa Rita,251370,PB,4,25,Ciclo 3
Cabo de Santo Agostinho,260290,PE,38,0,Ciclo 3
Camaragibe,260345,PE,43,0,Ciclo 3
Igarassu,260680,PE,29,0,Ciclo 3
Jaboatão dos Guararapes,260790,PE,73,1,Ciclo 3
Olinda,260960,PE,39,0,Ciclo 3
Petrolina,261110,PE,39,0,Ciclo 3
Recife,261160,PE,57,13,Ciclo 3
São Lourenço da Mata,261370,PE,17,0,Ciclo 3
Maceió,270430,AL,33,2,Ciclo 3
Aracaju,280030,SE,42,1,Ciclo 3
Nossa Senhora do Socorro,280480,SE,16,0,Ciclo 3
Camaçari,290570,BA,4,5,Ciclo 3
Porto Seguro,292530,BA,25,0,Ciclo 3
Salvador,292740,BA,42,1,Ciclo 3
Teixeira de Freitas,293135,BA,33,0,Ciclo 3
Belo Horizonte,310620,MG,122,0,Ciclo 3
Governador Valadares,312770,MG,14,28,Ciclo 3
Juiz de Fora,313670,MG,36,1,Ciclo 3
Ribeirão das Neves,315460,MG,46,3,Ciclo 3
Sabará,315670,MG,6,0,Ciclo 3
Santa Luzia,315780,MG,0,25,Ciclo 3
Teófilo Otoni,316860,MG,1,31,Ciclo 3
Vespasiano,317120,MG,8,0,Ciclo 3
Cariacica,320130,ES,4,1,Ciclo 3
Guarapari,320240,ES,0,14,Ciclo 3
Linhares,320320,ES,14,5,Ciclo 3
São Mateus,320490,ES,13,0,Ciclo 3
Serra,320500,ES,21,0,Ciclo 3
Vila Velha,320520,ES,8,0,Ciclo 3
Vitória,320530,ES,20,0,Ciclo 3
Belford Roxo,330045,RJ,1,16,Ciclo 3
Duque de Caxias,330170,RJ,2,18,Ciclo 3
Itaboraí,330190,RJ,34,0,Ciclo 3
