uf,municipio,IBGE,c0,c1,c2,c3,c4,ciclo
MS,Dourados,500370,0,1,31,NA,NA,Ciclo 1
MT,Cuiabá,510340,1,1,62,NA,NA,Ciclo 1
GO,Goiânia,520870,1,0,83,NA,NA,Ciclo 1
GO,Luziânia,521250,0,1,27,NA,NA,Ciclo 1
DF,Brasília,530010,3,27,115,NA,NA,Ciclo 1
RO,Porto Velho,110012,0,8,2,NA,NA,Ciclo 2
AC,Rio Branco,120040,1,7,14,NA,NA,Ciclo 2
AM,Manaus,130260,3,2,137,NA,NA,Ciclo 2
RR,Boa Vista,140010,4,13,6,NA,NA,Ciclo 2
PA,Belém,150140,1,6,37,NA,NA,Ciclo 2
PA,Bragança,150170,1,4,7,NA,NA,Ciclo 2
PA,Marituba,150442,0,0,12,NA,NA,Ciclo 2
PA,Parauapebas,150553,0,5,1,NA,NA,Ciclo 2
AP,Macapá,160030,3,10,12,NA,NA,Ciclo 2
TO,Araguaína,170210,0,0,16,NA,NA,Ciclo 2
TO,Palmas,172100,3,26,3,NA,NA,Ciclo 2
MA,Paço do Lumiar,210750,0,3,0,NA,NA,Ciclo 2
MA,São Luís,211130,1,4,31,NA,NA,Ciclo 2
MA,Timon,211220,1,1,19,NA,NA,Ciclo 2
PI,Parnaíba,220770,0,0,28,NA,NA,Ciclo 2
PI,Teresina,221100,2,1,6,NA,NA,Ciclo 2
CE,Caucaia,230370,2,4,39,NA,NA,Ciclo 2
CE,Fortaleza,230440,3,10,41,NA,NA,Ciclo 2
CE,Maracanaú,230765,27,0,1,NA,NA,Ciclo 2
RN,Parnamirim,240325,7,13,0,NA,NA,Ciclo 2
RN,Natal,240810,4,8,22,NA,NA,Ciclo 2
PB,João Pessoa,250750,24,54,20,NA,NA,Ciclo 2
PB,Santa Rita,251370,1,7,27,NA,NA,Ciclo 2
PE,Cabo de Santo Agostinho,260290,0,1,36,NA,NA,Ciclo 2
PE,Camaragibe,260345,0,7,31,NA,NA,Ciclo 2
PE,Igarassu,260680,0,3,22,NA,NA,Ciclo 2
PE,Jaboatão dos Guararapes,260790,1,2,38,NA,NA,Ciclo 2
PE,Olinda,260960,14,14,14,NA,NA,Ciclo 2
PE,Petrolina,261110,0,0,27,NA,NA,Ciclo 2
PE,Recife,261160,1,25,98,NA,NA,Ciclo 2
PE,São Lourenço da Mata,261370,0,0,24,NA,NA,Ciclo 2
AL,Maceió,270430,3,6,10,NA,NA,Ciclo 2
SE,Aracaju,280030,24,4,3,NA,NA,Ciclo 2
SE,Nossa Senhora do Socorro,280480,1,5,2,NA,NA,Ciclo 2
BA,Camaçari,290570,8,2,1,NA,NA,Ciclo 2
BA,Porto Seguro,292530,31,2,0,NA,NA,Ciclo 2
BA,Salvador,292740,23,8,24,NA,NA,Ciclo 2
BA,Teixeira de Freitas,293135,14,17,3,NA,NA,Ciclo 2
MG,Belo Horizonte,310620,78,52,16,NA,NA,Ciclo 2
MG,Governador Valadares,312770,0,0,41,NA,NA,Ciclo 2
MG,Juiz de Fora,313670,0,0,14,NA,NA,Ciclo 2
MG,Ribeirão das Neves,315460,1,29,0,NA,NA,Ciclo 2
MG,Sabará,315670,0,2,3,NA,NA,Ciclo 2
MG,Santa Luzia,315780,0,16,3,NA,NA,Ciclo 2
MG,Teófilo Otoni,316860,0,0,24,NA,NA,Ciclo 2
MG,Vespasiano,317120,0,11,0,NA,NA,Ciclo 2
ES,Cariacica,320130,2,4,7,NA,NA,Ciclo 2
ES,Guarapari,320240,0,1,1,NA,NA,Ciclo 2
ES,Linhares,320320,17,1,0,NA,NA,Ciclo 2
ES,São Mateus,320490,0,1,14,NA,NA,Ciclo 2
ES,Serra,320500,15,1,3,NA,NA,Ciclo 2
ES,Vila Velha,320520,0,1,7,NA,NA,Ciclo 2
ES,Vitória,320530,5,10,7,NA,NA,Ciclo 2
RJ,Belford Roxo,330045,0,0,20,NA,NA,Ciclo 2
RJ,Duque de Caxias,330170,2,31,21,NA,NA,Ciclo 2
RJ,Itaboraí,330190,1,3,22,NA,NA,Ciclo 2
RJ,Magé,330250,0,1,9,NA,NA,Ciclo 2
RJ,Maricá,330270,0,7,9,NA,NA,Ciclo 2
RJ,Mesquita,330285,0,10,0,NA,NA,Ciclo 2
RJ,Nilópolis,330320,0,1,8,NA,NA,Ciclo 2
RJ,Niterói,330330,1,24,4,NA,NA,Ciclo 2
RJ,Nova Iguaçu,330350,2,20,10,NA,NA,Ciclo 2
RJ,Queimados,330414,0,0,10,NA,NA,Ciclo 2
RJ,Resende,330420,20,0,0,NA,NA,Ciclo 2
RJ,Rio de Janeiro,330455,167,5,1,NA,NA,Ciclo 2
RJ,São Gonçalo,330490,5,27,94,NA,NA,Ciclo 2
RJ,São João de Meriti,330510,2,7,6,NA,NA,Ciclo 2
SP,Bauru,350600,4,0,0,NA,NA,Ciclo 2
SP,Botucatu,350750,7,4,0,NA,NA,Ciclo 2
SP,Cubatão,351350,1,0,5,NA,NA,Ciclo 2
SP,Guarujá,351870,7,2,0,NA,NA,Ciclo 2
SP,Itapetininga,352230,4,5,1,NA,NA,Ciclo 2
SP,Itaquaquecetuba,352310,0,1,0,NA,NA,Ciclo 2
SP,Ourinhos,353470,0,4,0,NA,NA,Ciclo 2
SP,Praia Grande,354100,0,12,5,NA,NA,Ciclo 2
SP,São Paulo,355030,21,238,10,NA,NA,Ciclo 2
