uf,municipio,IBGE,benzatina_1,benzatina_2,benzatina_998,ciclo,benzatina_9997,proc.pot_1,proc.pot_2,proc.pot_998,proc.pot_9997
PR,Curitiba,410690,99,2,0,Ciclo 1,NA,100,1,NA,NA
SC,Florianópolis,420540,46,3,0,Ciclo 1,NA,41,8,NA,NA
SC,Palhoça,421190,9,10,0,Ciclo 1,NA,7,12,NA,NA
SC,São José,421660,16,3,0,Ciclo 1,NA,15,4,NA,NA
RS,Alvorada,430060,1,12,0,Ciclo 1,NA,1,12,NA,NA
RS,Bento Gonçalves,430210,17,5,0,Ciclo 1,NA,14,8,NA,NA
RS,Canoas,430460,0,1,30,Ciclo 1,NA,0,1,30,NA
RS,Caxias do Sul,430510,44,0,0,Ciclo 1,NA,41,3,NA,NA
RS,Passo Fundo,431410,5,41,0,Ciclo 1,NA,4,42,NA,NA
RS,Porto Alegre,431490,162,7,37,Ciclo 1,NA,149,20,37,NA
RS,Rio Grande,431560,28,1,0,Ciclo 1,NA,26,3,NA,NA
RS,Santa Cruz do Sul,431680,5,19,0,Ciclo 1,NA,2,22,NA,NA
RS,Santa Maria,431690,17,9,0,Ciclo 1,NA,17,9,NA,NA
RS,São Leopoldo,431870,0,0,17,Ciclo 1,NA,0,0,17,NA
RS,Sapucaia do Sul,432000,2,1,14,Ciclo 1,NA,3,0,14,NA
RS,Viamão,432300,6,6,0,Ciclo 1,NA,6,6,NA,NA
MS,Campo Grande,500270,39,2,17,Ciclo 1,NA,35,6,17,NA
MS,Dourados,500370,22,10,0,Ciclo 1,NA,9,23,NA,NA
MT,Cuiabá,510340,1,61,2,Ciclo 1,NA,0,62,2,NA
GO,Goiânia,520870,41,43,0,Ciclo 1,NA,40,44,NA,NA
GO,Luziânia,521250,0,28,0,Ciclo 1,NA,0,28,NA,NA
DF,Brasília,530010,74,71,0,Ciclo 1,NA,66,79,NA,NA
RO,Porto Velho,110012,5,2,3,Ciclo 2,NA,5,2,3,NA
AC,Rio Branco,120040,19,3,0,Ciclo 2,NA,19,3,NA,NA
AM,Manaus,130260,7,121,14,Ciclo 2,NA,7,121,14,NA
RR,Boa Vista,140010,1,13,9,Ciclo 2,NA,1,13,9,NA
PA,Belém,150140,3,26,15,Ciclo 2,NA,3,26,15,NA
PA,Bragança,150170,11,1,0,Ciclo 2,NA,11,1,NA,NA
PA,Marituba,150442,0,10,2,Ciclo 2,NA,0,10,2,NA
PA,Parauapebas,150553,4,1,1,Ciclo 2,NA,4,1,1,NA
AP,Macapá,160030,17,7,1,Ciclo 2,NA,17,7,1,NA
TO,Araguaína,170210,5,7,4,Ciclo 2,NA,5,7,4,NA
TO,Palmas,172100,4,4,24,Ciclo 2,NA,4,4,24,NA
MA,Paço do Lumiar,210750,2,1,0,Ciclo 2,NA,2,1,NA,NA
MA,São Luís,211130,20,13,3,Ciclo 2,NA,20,13,3,NA
MA,Timon,211220,1,20,0,Ciclo 2,NA,1,20,NA,NA
PI,Parnaíba,220770,0,27,1,Ciclo 2,NA,0,27,1,NA
PI,Teresina,221100,8,1,0,Ciclo 2,NA,8,1,NA,NA
CE,Caucaia,230370,0,26,19,Ciclo 2,NA,0,26,19,NA
CE,Fortaleza,230440,27,2,25,Ciclo 2,NA,27,2,25,NA
CE,Maracanaú,230765,24,3,1,Ciclo 2,NA,24,3,1,NA
RN,Parnamirim,240325,2,18,0,Ciclo 2,NA,2,18,NA,NA
RN,Natal,240810,0,34,0,Ciclo 2,NA,0,34,NA,NA
PB,João Pessoa,250750,1,94,3,Ciclo 2,NA,1,94,3,NA
PB,Santa Rita,251370,0,32,3,Ciclo 2,NA,0,32,3,NA
PE,Cabo de Santo Agostinho,260290,0,37,0,Ciclo 2,NA,0,37,NA,NA
PE,Camaragibe,260345,0,38,0,Ciclo 2,NA,0,38,NA,NA
PE,Igarassu,260680,1,24,0,Ciclo 2,NA,1,24,NA,NA
PE,Jaboatão dos Guararapes,260790,26,13,2,Ciclo 2,NA,26,13,2,NA
PE,Olinda,260960,17,22,3,Ciclo 2,NA,17,22,3,NA
PE,Petrolina,261110,4,23,0,Ciclo 2,NA,4,23,NA,NA
PE,Recife,261160,71,17,36,Ciclo 2,NA,71,17,36,NA
PE,São Lourenço da Mata,261370,9,13,2,Ciclo 2,NA,9,13,2,NA
AL,Maceió,270430,14,4,1,Ciclo 2,NA,14,4,1,NA
SE,Aracaju,280030,18,11,2,Ciclo 2,NA,18,11,2,NA
SE,Nossa Senhora do Socorro,280480,4,4,0,Ciclo 2,NA,4,4,NA,NA
BA,Camaçari,290570,11,0,0,Ciclo 2,NA,11,0,NA,NA
BA,Porto Seguro,292530,25,8,0,Ciclo 2,NA,25,8,NA,NA
BA,Salvador,292740,27,6,22,Ciclo 2,NA,27,6,22,NA
BA,Teixeira de Freitas,293135,16,18,0,Ciclo 2,NA,16,18,NA,NA
MG,Belo Horizonte,310620,137,8,1,Ciclo 2,NA,137,8,1,NA
MG,Governador Valadares,312770,19,20,2,Ciclo 2,NA,19,20,2,NA
MG,Juiz de Fora,313670,4,8,2,Ciclo 2,NA,4,8,2,NA
MG,Ribeirão das Neves,315460,3,27,0,Ciclo 2,NA,3,27,NA,NA
MG,Sabará,315670,3,1,1,Ciclo 2,NA,3,1,1,NA
MG,Santa Luzia,315780,0,0,19,Ciclo 2,NA,0,0,19,NA
MG,Teófilo Otoni,316860,0,0,24,Ciclo 2,NA,0,0,24,NA
MG,Vespasiano,317120,7,3,1,Ciclo 2,NA,7,3,1,NA
ES,Cariacica,320130,0,10,3,Ciclo 2,NA,0,10,3,NA
ES,Guarapari,320240,0,2,0,Ciclo 2,NA,0,2,NA,NA
ES,Linhares,320320,1,17,0,Ciclo 2,NA,1,17,NA,NA
ES,São Mateus,320490,1,7,7,Ciclo 2,NA,1,7,7,NA
ES,Serra,320500,15,3,1,Ciclo 2,NA,15,3,1,NA
ES,Vila Velha,320520,1,0,7,Ciclo 2,NA,1,0,7,NA
ES,Vitória,320530,22,0,0,Ciclo 2,NA,22,0,NA,NA
RJ,Belford Roxo,330045,4,11,5,Ciclo 2,NA,4,11,5,NA
RJ,Duque de Caxias,330170,7,7,40,Ciclo 2,NA,7,7,40,NA
RJ,Itaboraí,330190,1,24,1,Ciclo 2,NA,1,24,1,NA
RJ,Magé,330250,0,0,10,Ciclo 2,NA,0,0,10,NA
RJ,Maricá,330270,9,7,0,Ciclo 2,NA,9,7,NA,NA
RJ,Mesquita,330285,0,0,10,Ciclo 2,NA,0,0,10,NA
RJ,Nilópolis,330320,1,8,0,Ciclo 2,NA,1,8,NA,NA
RJ,Niterói,330330,22,5,2,Ciclo 2,NA,22,5,2,NA
RJ,Nova Iguaçu,330350,1,28,3,Ciclo 2,NA,1,28,3,NA
RJ,Queimados,330414,0,0,10,Ciclo 2,NA,0,0,10,NA
RJ,Resende,330420,20,0,0,Ciclo 2,NA,20,0,NA,NA
RJ,Rio de Janeiro,330455,163,5,5,Ciclo 2,NA,163,5,5,NA
RJ,São Gonçalo,330490,4,120,2,Ciclo 2,NA,4,120,2,NA
RJ,São João de Meriti,330510,1,1,13,Ciclo 2,NA,1,1,13,NA
SP,Bauru,350600,2,0,2,Ciclo 2,NA,2,0,2,NA
SP,Botucatu,350750,10,1,0,Ciclo 2,NA,10,1,NA,NA
SP,Cubatão,351350,0,5,1,Ciclo 2,NA,0,5,1,NA
SP,Guarujá,351870,6,3,0,Ciclo 2,NA,6,3,NA,NA
SP,Itapetininga,352230,5,4,1,Ciclo 2,NA,5,4,1,NA
SP,Itaquaquecetuba,352310,1,0,0,Ciclo 2,NA,1,0,NA,NA
